date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:49	1438/1438	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Oct%202017%2021:30:02%20GMT	https://cmcmtech.com/js/jquery.inview.min.js	D:/office%20work/seseo/cmcmtech.com/js/jquery.inview.min.js	(from https://cmcmtech.com/)
10:27:50	3761/3761	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Oct%202017%2021:30:02%20GMT	https://cmcmtech.com/js/jquery.countTo.js	D:/office%20work/seseo/cmcmtech.com/js/jquery.countTo.js	(from https://cmcmtech.com/)
10:27:51	20200/20200	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Oct%202017%2021:30:02%20GMT	https://cmcmtech.com/js/jquery.magnific-popup.min.js	D:/office%20work/seseo/cmcmtech.com/js/jquery.magnific-popup.min.js	(from https://cmcmtech.com/)
10:27:51	8769/8769	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Oct%202017%2021:30:02%20GMT	https://cmcmtech.com/js/scrollreveal.min.js	D:/office%20work/seseo/cmcmtech.com/js/scrollreveal.min.js	(from https://cmcmtech.com/)
10:27:52	2211/2211	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2017%20Feb%202022%2009:54:38%20GMT	https://cmcmtech.com/js/style-switcher.js	D:/office%20work/seseo/cmcmtech.com/js/style-switcher.js	(from https://cmcmtech.com/)
10:27:52	4933/4933	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2015%20Feb%202022%2011:49:02%20GMT	https://cmcmtech.com/js/main.js	D:/office%20work/seseo/cmcmtech.com/js/main.js	(from https://cmcmtech.com/)
10:27:53	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/glyphicons-halflings-regular.eot	D:/office%20work/seseo/cmcmtech.com/fonts/glyphicons-halflings-regular.eot	(from https://cmcmtech.com/css/bootstrap.min.css)
10:27:54	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/glyphicons-halflings-regular.eot?	D:/office%20work/seseo/cmcmtech.com/fonts/glyphicons-halflings-regulard41d.eot	(from https://cmcmtech.com/css/bootstrap.min.css)
10:27:54	18028/18028	---M--	200	added ('OK')	font/woff2	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/glyphicons-halflings-regular.woff2	D:/office%20work/seseo/cmcmtech.com/fonts/glyphicons-halflings-regular.woff2	(from https://cmcmtech.com/css/bootstrap.min.css)
10:27:55	23424/23424	---M--	200	added ('OK')	font/woff	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/glyphicons-halflings-regular.woff	D:/office%20work/seseo/cmcmtech.com/fonts/glyphicons-halflings-regular.woff	(from https://cmcmtech.com/css/bootstrap.min.css)
10:27:55	45404/45404	---M--	200	added ('OK')	font/ttf	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/glyphicons-halflings-regular.ttf	D:/office%20work/seseo/cmcmtech.com/fonts/glyphicons-halflings-regular.ttf	(from https://cmcmtech.com/css/bootstrap.min.css)
10:27:56	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/glyphicons-halflings-regular.svg	D:/office%20work/seseo/cmcmtech.com/fonts/glyphicons-halflings-regular.svg	(from https://cmcmtech.com/css/bootstrap.min.css)
10:27:57	188508/188508	---M--	200	added ('OK')	font/ttf	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/ionicons.ttf?v=2.0.0	D:/office%20work/seseo/cmcmtech.com/fonts/ionicons28b5.ttf	(from https://cmcmtech.com/css/ionicons.min.css)
10:27:57	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/ionicons.eot?v=2.0.0	D:/office%20work/seseo/cmcmtech.com/fonts/ionicons28b5.eot	(from https://cmcmtech.com/css/ionicons.min.css)
10:27:58	67904/67904	---M--	200	added ('OK')	font/woff	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/ionicons.woff?v=2.0.0	D:/office%20work/seseo/cmcmtech.com/fonts/ionicons28b5.woff	(from https://cmcmtech.com/css/ionicons.min.css)
10:28:01	58680/58680	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/Pe-icon-7-stroke.eot?d7yf1v	D:/office%20work/seseo/cmcmtech.com/fonts/Pe-icon-7-strokebb1d.eot	(from https://cmcmtech.com/css/pe-icon-7-stroke.css)
10:28:03	58680/58680	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/Pe-icon-7-stroke.eot?	D:/office%20work/seseo/cmcmtech.com/fonts/Pe-icon-7-stroked41d.eot	(from https://cmcmtech.com/css/pe-icon-7-stroke.css)
10:28:04	333834/333834	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/ionicons.svg?v=2.0.0	D:/office%20work/seseo/cmcmtech.com/fonts/ionicons28b5.svg	(from https://cmcmtech.com/css/ionicons.min.css)
10:28:04	58556/58556	---M--	200	added ('OK')	font/woff	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/Pe-icon-7-stroke.woff?d7yf1v	D:/office%20work/seseo/cmcmtech.com/fonts/Pe-icon-7-strokebb1d.woff	(from https://cmcmtech.com/css/pe-icon-7-stroke.css)
10:28:04	58480/58480	---M--	200	added ('OK')	font/ttf	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/Pe-icon-7-stroke.ttf?d7yf1v	D:/office%20work/seseo/cmcmtech.com/fonts/Pe-icon-7-strokebb1d.ttf	(from https://cmcmtech.com/css/pe-icon-7-stroke.css)
10:28:04	3241/3241	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Oct%202017%2021:29:56%20GMT	https://cmcmtech.com/images/arrow-bg-hover.png	D:/office%20work/seseo/cmcmtech.com/images/arrow-bg-hover.png	(from https://cmcmtech.com/css/style.css)
10:28:07	164020/164020	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2004%20Oct%202017%2021:29:58%20GMT	https://cmcmtech.com/fonts/Pe-icon-7-stroke.svg?d7yf1v	D:/office%20work/seseo/cmcmtech.com/fonts/Pe-icon-7-strokebb1d.svg	(from https://cmcmtech.com/css/pe-icon-7-stroke.css)
